0,0,198
0,0.5,174
0,1,189
0,1.5,193
0,2,200
0,2.5,179
0,3,157
0,3.5,166
0,4,171
0,4.5,167
0,5,186
0,5.5,193
0,6,181
0,6.5,208
0,7,182
0,7.5,173
0,8,181
0,8.5,178
0,9,171
0,9.5,148
0,10,149
0,10.5,123
0,11,137
0,11.5,118
0,12,119
0,12.5,89
0,13,85
0,13.5,66
0,14,60
0,14.5,58
0,15,46
0.5,0,212
1,0,210
1.5,0,224
2,0,235
2.5,0,252
3,0,242
3.5,0,229
4,0,234
4.5,0,246
5,0,246
5.5,0,262
6,0,233
6.5,0,222
7,0,199
7.5,0,228
8,0,230
8.5,0,205
9,0,250
9.5,0,182
10,0,199
10.5,0,193
11.0,0,167
11.5,0,120
12,0,175
12.5,0,136
13,0,132
13.5,0,127
14,0,124
14.5,0,95
15,0,121
